Non-Spoiler,"The animation of the water in this movie is a character itself. It's absolutely stunning."
Spoiler,"The reveal that Te Kā was actually Te Fiti without her heart was a mind-blowing and beautiful twist."
Non-Spoiler,"'You're Welcome' is the catchiest Disney song in years. Dwayne Johnson can do it all."
Spoiler,"Moana restoring the heart by showing Te Kā compassion instead of fighting her... that's a powerful message."
Non-Spoiler,"Heihei the chicken is the dumbest and funniest character in any Disney movie. I love him."
Spoiler,"Maui's hook getting destroyed and then restored by Te Fiti at the end was a great moment of redemption for him."
Non-Spoiler,"The relationship between Moana and her grandmother is so beautiful and heartwarming."
Spoiler,"The final scene of Moana leading her people back out to sea as a wayfinder is the perfect ending."
Non-Spoiler,"The Kakamora are so cute and yet so terrifying. Those little coconut pirates are no joke."
Spoiler,"The moment the ocean 'chooses' Moana as a baby is pure magic."
Non-Spoiler,"The music is incredible. Lin-Manuel Miranda is a genius."
Spoiler,"Tamatoa the crab singing 'Shiny' is a fabulous villain song. So glam."
Non-Spoiler,"This movie is a beautiful celebration of Polynesian culture."
Spoiler,"Moana realizing she has to be the one to restore the heart, even without Maui, is her true hero moment."
Non-Spoiler,"The designs of the boats and the island of Motunui are so detailed and beautiful."
Spoiler,"The way Moana parts the sea to face Te Kā is an epic, biblical-level moment."
Non-Spoiler,"Pua the pig is adorable, but he really got sidelined for most of the movie. #JusticeForPua"
Spoiler,"The ending, with Motunui restored and the people returning to their voyaging roots, is so satisfying."
Non-Spoiler,"Moana is such a great role model. She's brave, smart, and follows her heart."
Spoiler,"The spirit of her grandmother coming back as a manta ray to guide her was so beautiful."
Non-Spoiler,"The animation of the constellations and the wayfinding is breathtaking."
Spoiler,"The twist isn't that there's a villain, but that the 'villain' is a corrupted hero who needs to be healed."
Non-Spoiler,"The dynamic between Moana and Maui is the heart of the film. They have great chemistry."
Spoiler,"The final song, with the ancestors joining in, gives me goosebumps every time."
Non-Spoiler,"The movie is just a joy to watch. It's so full of life and adventure."
Spoiler,"Maui getting his powers and his confidence back is a great character arc."
Non-Spoiler,"The lore of Te Fiti and the Heart is such a cool and original mythology."
Spoiler,"The moment Moana walks on the water towards Te Kā is one of the most powerful shots in Disney history."
Non-Spoiler,"The humor is great, especially with Heihei and Maui's talking tattoos."
Spoiler,"The ending is a beautiful message about healing and finding your true identity."
Non-Spoiler,"The voice acting is perfect, especially Auli'i Cravalho as Moana."
Spoiler,"The way Moana uses her intelligence to outsmart Tamatoa is so clever."
Non-Spoiler,"The film is a stunning visual masterpiece."
Spoiler,"The reveal that the monster was the goddess all along completely changes the story."
Non-Spoiler,"The songs are all bangers. I can't pick a favorite."
Spoiler,"The final scene of her placing the shell on the mountain shows she's become a true leader."
Non-Spoiler,"The movie is a perfect adventure story with a lot of heart."
Spoiler,"Maui's backstory about his parents abandoning him is surprisingly dark and adds so much depth to his character."
Non-Spoiler,"The film is a celebration of exploration and courage."
Spoiler,"The moment Moana realizes she is the chosen one for a reason is a huge step in her journey."
Non-Spoiler,"The animation of the glowing ocean creatures is magical."
Spoiler,"The twist with Te Kā is a beautiful lesson in looking past the anger to see the hurt."
Non-Spoiler,"The movie is just pure, unfiltered joy."
Spoiler,"The final scene of the boats sailing out is so hopeful and inspiring."
Non-Spoiler,"The cultural consultants they worked with really made the world feel authentic."
Spoiler,"Maui leaving and then coming back at the last minute to help was a classic hero move."
Non-Spoiler,"The film is a beautiful story about finding your place in the world."
Spoiler,"The ending is a perfect culmination of Moana's journey from a chief's daughter to a master wayfinder."
Non-Spoiler,"The character designs are so expressive and appealing."
Spoiler,"The way she uses the ocean's help to defeat the Kakamora is so smart."
Non-Spoiler,"A modern Disney classic that stands with the best of them."
Spoiler,"The final song reprise of 'We Know the Way' brings the whole story full circle."
Non-Spoiler,"The animation is just breathtakingly beautiful."
Spoiler,"The twist that Te Fiti is Te Kā is one of the best in any Disney film."
Non-Spoiler,"The songs are what make this movie truly special."
Spoiler,"The ending is a powerful statement about empathy and understanding over violence."
Non-Spoiler,"The visuals are so rich and vibrant."
Spoiler,"Maui's redemption arc is so well done."
Non-Spoiler,"The film is a perfect adventure for the whole family."
Spoiler,"The way Moana restores the heart is an act of kindness, not a fight."
Non-Spoiler,"The score is just as incredible as the songs."
Spoiler,"The ending is so emotionally satisfying."
Non-Spoiler,"The movie is a beautiful and inspiring story."
Spoiler,"The reveal of Te Fiti's true form is a stunning visual moment."
Non-Spoiler,"The humor is perfectly blended with the more emotional moments."
Spoiler,"The final scene is a perfect celebration of Moana's and her people's identity."
Non-Spoiler,"The world is so lush and beautifully realized."
Spoiler,"Maui's character growth from a self-centered demigod to a true hero is great."
Non-Spoiler,"The film is a visual feast from start to finish."
Spoiler,"The ending is a beautiful resolution that emphasizes healing over fighting."
Non-Spoiler,"The songs will be stuck in your head for days, and you won't even mind."
Spoiler,"The way Moana connects with her ancestors through the boats in the cave is a powerful scene."
Non-Spoiler,"A perfect Disney movie with a great message and unforgettable music."
Spoiler,"The final transformation of Te Kā back to Te Fiti is a beautiful and moving climax."
Non-Spoiler,"The animation of the lava and water clashing is incredible."
Spoiler,"The moment Moana declares 'I am Moana!' is an all-time great Disney hero moment."
Non-Spoiler,"The film is a stunning work of art."
Spoiler,"The ending, where she teaches her people to be wayfinders again, is a triumph."
Non-Spoiler,"The friendship between Moana and the ocean is so pure."
Spoiler,"Maui's tattoos acting as his conscience is a hilarious and clever idea."
Non-Spoiler,"The movie is a beautiful journey of self-discovery."
Spoiler,"The final scene is a perfect, hopeful ending for a wonderful story."
Non-Spoiler,"The culture and mythology are so rich and interesting."
Spoiler,"The way Moana uses her wits to solve problems is what makes her such a great character."
Non-Spoiler,"The film is a modern masterpiece of animation."
Spoiler,"The twist with Te Fiti is a beautiful metaphor for how pain can change us."
Non-Spoiler,"The music is the soul of the movie."
Spoiler,"The ending is a perfect celebration of heritage and new beginnings."
Non-Spoiler,"The visuals are just on another plane of existence. So beautiful."
Spoiler,"Maui's sacrifice of his hook for Moana shows how much he's changed."
Non-Spoiler,"A perfect film with a perfect message."
Spoiler,"The final scene of her leading the fleet is a powerful image of a true leader."
Non-Spoiler,"The story is so well-paced and emotionally resonant."
Spoiler,"The reveal that the ocean chose her for her compassion is a great touch."
Non-Spoiler,"The movie is a timeless classic."
Spoiler,"The ending is a beautiful testament to the power of understanding and forgiveness."
