Non-Spoiler,"The opening shot is one of the most incredible things I've ever seen in a movie. Absolutely breathtaking."
Spoiler,"I knew it was too good to be true when Kowalski showed up in the capsule. The dream sequence broke me."
Non-Spoiler,"This movie is a 90-minute anxiety attack in the best way possible."
Spoiler,"The way she uses the fire extinguisher as a thruster to get to the Chinese station was pure genius."
Non-Spoiler,"The silence of space is deafening in this film. The sound design is 10/10."
Spoiler,"The final scene, with her just breathing on Earth after all that... goosebumps."
Non-Spoiler,"Sandra Bullock deserves all the awards for this performance. She carried the whole movie."
Spoiler,"The reveal that the Soyuz parachute was already deployed was such a soul-crushing moment."
Non-Spoiler,"The 3D in this movie is probably the best use of the technology ever."
Spoiler,"The moment Kowalski has to let go and drifts into the void... I'm not over it."
Non-Spoiler,"This film makes you appreciate just how hostile space really is."
Spoiler,"Her 'conversation' with Aningaaq on the radio, not understanding a word but finding connection, was so beautiful."
Non-Spoiler,"The debris field sequences are terrifying. It's like a cosmic bullet storm."
Spoiler,"The way she finally decides to fight and 'learn to drive' to get home is so empowering."
Non-Spoiler,"George Clooney was so charming and calming, even as everything was going to hell."
Spoiler,"That moment when she realizes she has to let go of her daughter's memory to survive... powerful stuff."
Non-Spoiler,"The feeling of isolation in this movie is overwhelming."
Spoiler,"The fire in the ISS scene was so claustrophobic and intense."
Non-Spoiler,"This movie is a masterclass in tension."
Spoiler,"The ending where she has to re-learn how to walk on Earth is such a perfect final image."
Non-Spoiler,"The cinematography makes you feel like you are right there in space with them."
Spoiler,"The moment when she thinks she's going to die and just turns off the oxygen is so bleak."
Non-Spoiler,"I can't believe this was mostly CGI. It all looked so real."
Spoiler,"Her seeing her daughter in the dream gives her the final push she needs to survive. So emotional."
Non-Spoiler,"The theme of rebirth is so strong in this movie."
Spoiler,"The final re-entry sequence is one of the most thrilling scenes ever filmed."
Non-Spoiler,"The way the story is just a chain reaction of disasters is relentless."
Spoiler,"The moment she makes contact with Earth, even if it's just a dog barking, feels like a miracle."
Non-Spoiler,"This movie made me never want to go to space. Ever."
Spoiler,"The symbolism of her emerging from the water at the end, like the first life on Earth, is brilliant."
Non-Spoiler,"The long takes are just a technical marvel."
Spoiler,"Kowalski's sacrifice is the definition of letting go so someone else can live."
Non-Spoiler,"The details, like her tears floating in zero-g, are what make this movie so special."
Spoiler,"The whole film is just a pure survival story, and it's gripping from start to finish."
Non-Spoiler,"The way she uses every last bit of her training to survive is inspiring."
Spoiler,"The moment of peace when she's just floating in the fetal position is so poignant before the chaos starts again."
Non-Spoiler,"The sound going from the muffled helmet audio to complete silence is so effective."
Spoiler,"Her final monologue before re-entry, where she's just ready for any outcome, is a great character moment."
Non-Spoiler,"The score is amazing, it ramps up the tension perfectly."
Spoiler,"Her journey from wanting to die to fighting for her life is incredible."
Non-Spoiler,"This is one of the most immersive movie experiences I've ever had."
Spoiler,"The way she has to problem-solve her way out of each disaster is so compelling."
Non-Spoiler,"The visual of the space stations being torn apart is haunting."
