Non-Spoiler,"This movie is an emotional rollercoaster. Bring tissues. Lots of them."
Spoiler,"I can't believe Will actually went through with it. The ending is so devastatingly sad."
Non-Spoiler,"Emilia Clarke is so charming as Lou. Her quirky outfits are the best."
Spoiler,"The letter Will leaves for Lou at the end, telling her to 'live boldly,' is a beautiful and heartbreaking message."
Non-Spoiler,"The chemistry between Lou and Will is so undeniable. They are perfect together."
Spoiler,"Lou's final trip to Paris, living out the life Will wanted for her, is such a bittersweet ending."
Non-Spoiler,"The movie has such a beautiful setting. That castle is a dream."
Spoiler,"The fact that he chooses to die even after falling in love with her is such a controversial and powerful statement."
Non-Spoiler,"The Bumblebee Tights are iconic. That's all."
Spoiler,"The final scene, with Lou reading his letter in Paris, is the perfect way to end their story."
Non-Spoiler,"This story really makes you think about what it means to live a full life."
Spoiler,"Will's decision to go to Dignitas is the central conflict, and it's handled with so much care."
Non-Spoiler,"Sam Claflin's performance is incredible. He conveys so much with just his facial expressions."
Spoiler,"The ending shows that loving someone sometimes means respecting their choices, even if it breaks your heart."
Non-Spoiler,"The soundtrack is beautiful and fits the movie perfectly."
Spoiler,"The moment Lou realizes she can't change his mind is utterly heartbreaking."
Non-Spoiler,"The movie is a beautiful and tragic love story."
Spoiler,"The ending is a powerful exploration of the right to choose, even if it's a choice we don't agree with."
Non-Spoiler,"Lou's character growth from a small-town girl to a worldly woman is so well done."
Spoiler,"The final letter is what really makes the ending so impactful. His love for her is so clear."
Non-Spoiler,"The scene at the wedding is so romantic and full of joy, which makes the ending even sadder."
Spoiler,"The film is a beautiful reminder to live every moment to the fullest."
Non-Spoiler,"The dynamic between Lou and Will's parents is also really interesting."
Spoiler,"The ending is what makes this story so unforgettable. It's not a typical Hollywood romance."
Non-Spoiler,"The way their relationship develops from caregiver/patient to true equals is so well-written."
Spoiler,"The fact that he gives her the means to pursue her dreams after he's gone is his final act of love."
Non-Spoiler,"The movie is both heartwarming and heartbreaking."
Spoiler,"Will's past life as an adventurer makes his current situation even more tragic."
Non-Spoiler,"The film asks some really tough questions about life, love, and disability."
