Non-Spoiler,"'I'm the king of the world!' is still an iconic movie line."
Spoiler,"Jack freezing to death in the water while Rose is on the floating door is the most heartbreaking scene in cinema history."
Non-Spoiler,"The scale of this movie is just epic. The ship looks so real and grand."
Spoiler,"The ending, with old Rose throwing the Heart of the Ocean back into the sea, is a perfect, quiet conclusion to her story."
Non-Spoiler,"The chemistry between Leonardo DiCaprio and Kate Winslet is legendary. They are perfect together."
Spoiler,"The final shot of her dying as an old woman and being reunited with Jack and everyone on the grand staircase... I'm a mess."
Non-Spoiler,"The 'I'm flying' scene at the bow of the ship is pure movie magic."
Spoiler,"The sinking of the ship is one of the most terrifying and spectacular disaster sequences ever filmed."
Non-Spoiler,"This movie is a timeless classic. It's a masterpiece."
Spoiler,"The way Rose lives a full, long life, just like she promised Jack, makes his sacrifice so meaningful."
Non-Spoiler,"The music by James Horner is beautiful and so iconic. 'My Heart Will Go On' is a classic for a reason."
Spoiler,"Jack's death is still one of the most debated movie deaths. He totally could have fit on that door."
Non-Spoiler,"The film is a perfect blend of historical epic, disaster movie, and romance."
Spoiler,"The reveal of all her photos at the end, showing the adventurous life she lived, is so touching."
Non-Spoiler,"The class difference between Jack and Rose is a great source of conflict."
Spoiler,"The final moments of the ship sinking, with the band playing on, is a haunting and beautiful image."
Non-Spoiler,"Cal is one of the most hateable villains ever. Billy Zane was so good."
Spoiler,"The way old Rose tells the story brings so much weight and emotion to the film."
Non-Spoiler,"The drawing scene is so iconic and romantic."
Spoiler,"The ending, with her finally being at peace and rejoining Jack, is a beautiful vision of the afterlife."
Non-Spoiler,"The production design is incredible. The level of detail on the ship is insane."
Spoiler,"Jack winning his ticket in a poker game is the ultimate lucky break that changes his life forever."
Non-Spoiler,"The movie is an emotional rollercoaster from start to finish."
Spoiler,"The final goodbye between Jack and Rose is one of the saddest scenes ever."
Non-Spoiler,"The special effects for the sinking still hold up incredibly well."
Spoiler,"The story of the Heart of the Ocean is a great framing device for the main romance."
Non-Spoiler,"The movie is a truly epic and unforgettable experience."
Spoiler,"The way she takes his last name, 'Rose Dawson,' and lives a life he would have been proud of, is her ultimate tribute to him."
Non-Spoiler,"The characters are so well-developed, you really care about them."
Spoiler,"The moment the ship breaks in half is a horrifying and spectacular visual."
Non-Spoiler,"The film is a masterpiece of filmmaking."
Spoiler,"The ending, showing her surrounded by all the people who died, implies they were all waiting for her."
Non-Spoiler,"The love story is what makes the tragedy of the sinking so much more powerful."
Spoiler,"The scene where they are running from Cal through the flooding lower decks is so intense."
Non-Spoiler,"A classic movie that will be loved for generations."
Spoiler,"The final shot is a beautiful and poignant end to an epic story."
Non-Spoiler,"The costumes are absolutely stunning."
Spoiler,"The way she chooses Jack over her privileged life is a great act of rebellion."
Non-Spoiler,"The movie is just a grand, sweeping, old-fashioned epic."
Spoiler,"The ending is a perfect, emotional gut-punch."
Non-Spoiler,"The scale of the disaster is just mind-boggling."
Spoiler,"The moment she decides to go back for him when the lifeboats are leaving is a huge turning point."
Non-Spoiler,"A truly iconic film that defined a generation."
Spoiler,"The final scene is a beautiful and heartbreaking reunion in the afterlife."
Non-Spoiler,"The romance is one of the greatest in cinema history."
Spoiler,"The way the story is told in flashback adds so much to the emotion."
Non-Spoiler,"The movie is a visual and emotional spectacle."
Spoiler,"The ending, with old Rose finally at peace, is a beautiful conclusion."
Non-Spoiler,"The attention to historical detail is amazing."
Spoiler,"The way Jack teaches Rose to be free and live her own life is the core of their love story."
Non-Spoiler,"The film is a timeless story of love and loss."
Spoiler,"The final shot of the grand staircase is a perfect, dreamlike ending."
Non-Spoiler,"The performances are what make the story so powerful."
Spoiler,"The moment she lets go of the door and watches Jack sink is devastating."
Non-Spoiler,"The movie is a cinematic triumph."
Spoiler,"The ending is a beautiful and fitting tribute to all the lives lost."
Non-Spoiler,"The set design is just on another level."
Spoiler,"The way their love story unfolds against the backdrop of the sinking ship is brilliant."
Non-Spoiler,"A classic movie that will always make me cry."
Spoiler,"The final scene is a beautiful and poetic end to a tragic love story."
Non-Spoiler,"The chemistry between Leo and Kate is what makes the movie work."
Spoiler,"The way she keeps her promise to him to 'never let go' of life is so beautiful."
Non-Spoiler,"The film is a grand and epic romance."
Spoiler,"The ending is the perfect, heartbreaking conclusion."
Non-Spoiler,"The scale of the production is just awe-inspiring."
Spoiler,"The way their love blossoms in just a few days feels so real and intense."
Non-Spoiler,"A timeless masterpiece."
Spoiler,"The final reunion in her 'dream' is the happily ever after they deserved."
Non-Spoiler,"The movie is an emotional journey."
Spoiler,"The way the film cuts between the past and the present is so effective."
Non-Spoiler,"The film is a beautiful and tragic epic."
Spoiler,"The ending, with all her pictures showing a life well-lived, is a beautiful tribute to Jack's influence."
Non-Spoiler,"The performances are unforgettable."
Spoiler,"The way the sinking is portrayed is both terrifying and technically brilliant."
Non-Spoiler,"The movie is a cinematic event."
Spoiler,"The final scene is a beautiful and poignant conclusion."
Non-Spoiler,"The love story is what gives the disaster its human soul."
Spoiler,"The way she chooses to die as an old woman in her bed, warm, just as he wanted for her."
Non-Spoiler,"A classic that will stand the test of time."
Spoiler,"The ending is a perfect, emotional release."
Non-Spoiler,"The film is a grand and beautiful tragedy."
Spoiler,"The final reunion is a perfect, dreamlike ending to their love story."
Non-Spoiler,"The score is a huge part of the movie's emotional impact."
Spoiler,"The way she saves him when he's handcuffed below deck is a great hero moment for her."
Non-Spoiler,"The movie is an epic in every sense of the word."
Spoiler,"The ending is a beautiful and heartbreaking tribute to a love that was never forgotten."
Non-Spoiler,"The visual effects were groundbreaking for their time."
Spoiler,"The way the film honors the real history of the Titanic is so well done."
Non-Spoiler,"A cinematic masterpiece that everyone should see."
Spoiler,"The final scene is a beautiful and powerful statement about a love that transcends death."
Non-Spoiler,"The romance is what makes the story so timeless."
Spoiler,"The way she tells her story as an old woman gives it so much more weight."
Non-Spoiler,"The film is a beautiful and epic journey."
Spoiler,"The ending, with her finally at peace, is a beautiful and fitting end."
