Non-Spoiler,"This movie is based on a true story, which makes it even more heartbreaking."
Spoiler,"The fact that she never gets her memory of him back, and they have to start a new relationship from scratch, is such a bittersweet ending."
Non-Spoiler,"Channing Tatum and Rachel McAdams have such amazing chemistry. You really believe their love story."
Spoiler,"The ending, with them meeting again at a new coffee shop and going on a first date, is a hopeful new beginning."
Non-Spoiler,"The premise is so tragic. Waking up and not knowing the person you love would be a nightmare."
Spoiler,"The final scene shows that even without her memories, she's still drawn to him. That's true love."
Non-Spoiler,"The movie is such an emotional ride. Make sure you have tissues."
Spoiler,"The way he has to try and win her back, when she only remembers her old, snobby life, is so painful."
Non-Spoiler,"The scenes where they show flashbacks of their old life together are so sweet and sad."
Spoiler,"The moment she finally leaves her ex-fiancé and her old life behind is a huge step for her."
Non-Spoiler,"This is a great movie for a good cry."
Spoiler,"The ending is not a fairytale, but it's a realistic and hopeful one. They found each other again."
Non-Spoiler,"The soundtrack is beautiful and really adds to the emotional weight of the film."
Spoiler,"The way her parents try to push her back to her old life and her old fiancé is so frustrating."
Non-Spoiler,"The movie is a powerful story about love and memory."
Spoiler,"The ending proves that their connection is deeper than just shared memories."
Non-Spoiler,"The scene where he plays the guitar for her is so romantic."
Spoiler,"The way he recreates their first date is so sweet, even if she doesn't remember it."
Non-Spoiler,"A beautiful and heartbreaking love story."
Spoiler,"The final scene is a perfect example of how love can find a way, even after tragedy."
Non-Spoiler,"The way she rediscovers her passion for art is a great part of her journey."
Spoiler,"The moment she decides to move back in with him, even as a roommate, is a glimmer of hope."
Non-Spoiler,"The film is a touching and emotional watch."
Spoiler,"The ending is a testament to their love being strong enough to start over."
Non-Spoiler,"The performances are what make this movie so affecting."
Spoiler,"The way he never gives up on her, even when she pushes him away, is true love."
Non-Spoiler,"The movie is a beautiful and sad story about the nature of love."
Spoiler,"The final 'first date' is a perfect, hopeful end to their struggle."
Non-Spoiler,"The contrast between her old life and the life she built with him is so stark."
Spoiler,"The way she has to choose between the person she was and the person she became is a great conflict."
Non-Spoiler,"A truly moving and unforgettable film."
Spoiler,"The ending is a beautiful way to show that they can fall in love all over again."
Non-Spoiler,"The chemistry between the leads is what makes the heartbreak so real."
Spoiler,"The moment he finally accepts that she might never remember him is a big step for him."
Non-Spoiler,"The film is a beautiful and emotional story about commitment."
Spoiler,"The ending is a hopeful and realistic take on a tragic situation."
Non-Spoiler,"The supporting cast is great, especially Scott Speedman as the ex-fiancé."
Spoiler,"The way she is drawn back to her art is a sign that her true self is still in there somewhere."
Non-Spoiler,"A perfect movie for a romantic night in."
